N_unmapped	2237346	2237346	2237346
N_multimapping	6606100	6606100	6606100
N_noFeature	38141813	117165553	38837196
N_ambiguous	1827728	11725	659055
ENSCHIG00000000514	4179	1	4178
ENSCHIG00000000533	0	0	0
ENSCHIG00000000543	0	0	0
ENSCHIG00000000612	156	0	162
ENSCHIG00000000870	3	3	0
ENSCHIG00000000879	93	0	93
ENSCHIG00000000926	0	0	0
ENSCHIG00000000939	20	8	12
ENSCHIG00000000986	4	0	4
ENSCHIG00000001025	0	0	0
ENSCHIG00000001035	0	0	0
ENSCHIG00000001077	13	2	11
ENSCHIG00000001118	10	0	10
ENSCHIG00000001177	0	0	0
ENSCHIG00000001263	0	0	0
ENSCHIG00000001279	0	0	0
ENSCHIG00000001310	0	0	0
ENSCHIG00000001388	10	0	10
ENSCHIG00000001393	0	0	0
ENSCHIG00000001413	1	0	1
ENSCHIG00000001419	65	0	65
ENSCHIG00000001444	39	101	0
ENSCHIG00000001458	0	0	0
ENSCHIG00000001471	0	0	0
ENSCHIG00000001557	62	0	62
ENSCHIG00000001594	5204	5	5199
ENSCHIG00000001677	0	0	0
ENSCHIG00000001800	0	0	0
ENSCHIG00000001813	0	0	0
ENSCHIG00000001832	0	0	0
ENSCHIG00000001861	0	0	0
ENSCHIG00000001865	7090	12	7078
ENSCHIG00000001902	0	0	0
ENSCHIG00000001912	40	0	40
ENSCHIG00000001932	136	0	136
ENSCHIG00000001936	170	0	170
ENSCHIG00000002232	0	0	0
ENSCHIG00000002251	3158	0	3158
ENSCHIG00000002272	0	0	0
ENSCHIG00000002275	0	0	0
ENSCHIG00000002309	0	0	0
ENSCHIG00000002346	0	0	0
ENSCHIG00000002348	0	0	0
ENSCHIG00000002352	12	0	12
ENSCHIG00000002366	0	0	0
ENSCHIG00000002425	996	0	996
ENSCHIG00000002428	899	0	899
ENSCHIG00000002506	0	0	0
ENSCHIG00000002508	294	0	294
ENSCHIG00000002517	53	0	53
ENSCHIG00000002537	0	0	0
ENSCHIG00000002555	0	0	0
ENSCHIG00000002558	0	0	0
ENSCHIG00000002568	3	0	3
ENSCHIG00000002573	2519	0	2519
ENSCHIG00000002626	4	0	4
ENSCHIG00000002669	478	404	74
ENSCHIG00000002756	0	0	0
ENSCHIG00000002780	0	0	0
ENSCHIG00000002864	0	0	0
ENSCHIG00000002872	0	0	0
ENSCHIG00000002902	4	0	4
ENSCHIG00000002923	0	0	0
ENSCHIG00000002981	0	0	0
ENSCHIG00000003013	0	0	0
ENSCHIG00000003029	0	0	0
ENSCHIG00000003038	12	0	12
ENSCHIG00000003040	0	0	0
ENSCHIG00000003174	1	0	1
ENSCHIG00000003175	0	0	0
ENSCHIG00000003264	0	0	0
ENSCHIG00000003277	0	0	0
ENSCHIG00000003289	0	0	0
ENSCHIG00000003310	0	0	0
ENSCHIG00000003347	791	27	764
ENSCHIG00000003366	0	0	0
ENSCHIG00000003377	0	0	0
ENSCHIG00000003389	0	0	0
ENSCHIG00000003408	0	0	0
ENSCHIG00000003416	110	0	110
ENSCHIG00000003423	1	0	1
ENSCHIG00000003481	0	0	0
ENSCHIG00000003502	0	0	0
ENSCHIG00000003509	6877	0	6878
ENSCHIG00000003566	107	0	107
ENSCHIG00000003669	0	0	0
ENSCHIG00000003698	13	13	0
ENSCHIG00000003723	0	0	0
ENSCHIG00000003811	0	0	0
ENSCHIG00000003821	13	13	0
ENSCHIG00000003846	0	0	0
